name,barcode,normalized_name,cluster_id,true_category,predicted_category,confidence,method_used,approach2_prediction,approach2_confidence,approach4_prediction,approach4_confidence
Dell UltraSharp,BC824230874,dell ultrasharp,8,,Technology,0.911015510559082,zeroshot_high_conf,Services,0.7790585252216248,Technology,0.911015510559082
stuhl,BC971763327,stuhl,19,Furniture,Technology,0.6928627922329365,semantic_conf,Technology,0.769847546925485,Furniture,0.5108627557754516
executive chair,BC663052341,executive chair,19,Furniture,Furniture,0.8202701210975647,zeroshot_high_conf,Technology,0.7620928634309171,Furniture,0.8202701210975647
Global szafa,BC922172936,global szafa,16,,Technology,0.6886201375098171,semantic_conf,Technology,0.765133486122019,Services,0.5326372861862182
service agreement,BC173512612,service agreement,15,Services,Services,0.9744166135787964,zeroshot_high_conf,Furniture,0.7628249497409451,Services,0.9744166135787964
office sofa,BC182894551,office sofa,5,Furniture,Furniture,0.9846997857093811,zeroshot_high_conf,Technology,0.7742960075414633,Furniture,0.9846997857093811
executive standing desk,BC369183038,executive standing desk,3,Furniture,Furniture,0.7002100288867951,zeroshot_fallback,Technology,0.7658986356105127,Furniture,0.77801114320755
Lounge Seating LS-200,BC481882460,lounge seating ls-200,5,,Furniture,0.908184289932251,zeroshot_high_conf,Technology,0.7487176279104208,Furniture,0.908184289932251
OneDrive storage basic,BC889546822,onedrive storage basic,17,,Technology,0.8937332630157471,zeroshot_high_conf,Furniture,0.7487394822144471,Technology,0.8937332630157471
Global archivador,BC358085454,global archivador,2,,Services,0.6673393409496134,semantic_conf,Services,0.7414881566106816,Technology,0.5856609821319579
стул Model Pro-918,BC196201527,стул model pro-918,1,,Technology,0.8618922039857378,agreement,Technology,0.7805024738481213,Technology,0.5454855322837829
IKEA leather Desk Model D-100,BC626061386,ikea leather desk model d-100,1,,Furniture,0.9823142886161804,zeroshot_high_conf,Technology,0.7745988125970532,Furniture,0.9823142886161804
deks,BC498786278,deks,3,Furniture,Technology,0.6768265759568559,semantic_conf,Technology,0.752029528840951,Furniture,0.6118680834770203
internet service,BC902813840,internet service,7,Services,Furniture,0.7114915758046414,semantic_conf,Furniture,0.7905461953384905,Services,0.7002559900283813
schrank,BC140519046,schrank,16,Furniture,Technology,0.6899137669176998,semantic_conf,Technology,0.7665708521307776,Furniture,0.549790745973587
printer - Refurbished,BC805315791,printer - refurbished,8,,Services,0.7032340132508387,semantic_conf,Services,0.7813711258342652,Technology,0.7092713356018067
compter,BC883749478,compter,21,Technology,Services,0.6626756792692171,semantic_conf,Services,0.7363063102991301,Technology,0.7117092847824097
ASUS PB278Q wireless,BC158119446,asus pb278q wireless,8,,Technology,0.9297643303871155,zeroshot_high_conf,Services,0.7670919987132935,Technology,0.9297643303871155
all-in-one printer compact,BC991091361,all-in-one printer compact,18,Technology,Technology,0.8327999114990234,zeroshot_high_conf,Services,0.7567938356859156,Technology,0.8327999114990234
broadband monthly,BC414064734,broadband monthly,6,Services,Furniture,0.6802916088423631,semantic_conf,Furniture,0.7558795653804034,Technology,0.5539233684539795
stuhl,BC444342661,stuhl,19,Furniture,Technology,0.6928627922329365,semantic_conf,Technology,0.769847546925485,Furniture,0.5108627557754516
gabinete,BC141351917,gabinete,2,Furniture,Services,0.6771800976043528,semantic_conf,Services,0.7524223306715031,Furniture,0.7236914038658142
secondary display certified,BC574460059,secondary display certified,9,Technology,Services,0.6504967160770561,semantic_conf,Services,0.7227741289745068,Technology,0.5384650945663452
SSH client limited,BC534722381,ssh client limited,17,,Furniture,0.6753214906904664,semantic_conf,Furniture,0.750357211878296,Technology,0.6349580526351929
Anti virus,BC982169157,anti virus,17,,Furniture,0.6783123146746125,semantic_conf,Furniture,0.7536803496384583,Technology,0.6485775232315063
biurko,BC108809073,biurko,3,Furniture,Technology,0.8381608786244906,agreement,Technology,0.7544976975764551,Technology,0.5349805772304534
의자,BC374811907,의자,2,Furniture,Services,0.6648085694557017,semantic_conf,Services,0.738676188284113,Furniture,0.5232390701770783
ITIL support,BC958416162,itil support,13,,Furniture,0.6947551174195209,semantic_conf,Furniture,0.7719501304661343,Technology,0.7588571906089783
Allsteel archivador,BC699299989,allsteel archivador,2,,Services,0.6688592415099924,semantic_conf,Services,0.7431769350111027,Technology,0.6506096363067627
QHD Display certified,BC946711815,qhd display certified,9,,Technology,0.9397377967834473,zeroshot_high_conf,Services,0.720792810977528,Technology,0.9397377967834473
schrank,BC279701810,schrank,16,Furniture,Technology,0.6899137669176998,semantic_conf,Technology,0.7665708521307776,Furniture,0.549790745973587
fiber internet,BC899484915,fiber internet,7,Services,Technology,0.8222059011459351,zeroshot_high_conf,Furniture,0.7722305820686846,Technology,0.8222059011459351
HON table,BC450932787,hon table,10,,Furniture,0.9229129552841187,zeroshot_high_conf,Technology,0.7738169720332307,Furniture,0.9229129552841187
work desk,BC364982130,work desk,3,Furniture,Furniture,0.8208921551704407,zeroshot_high_conf,Technology,0.7830462362613001,Furniture,0.8208921551704407
WiFi printer,BC575625690,wifi printer,18,,Technology,0.937508225440979,zeroshot_high_conf,Services,0.7690247683984706,Technology,0.937508225440979
стол,BC227117388,стол,19,Furniture,Technology,0.6945693208965718,semantic_conf,Technology,0.7717436898850797,Services,0.5295500457286835
HP OfficeJet,BC718494872,hp officejet,18,,Services,0.6872543504174949,semantic_conf,Services,0.7636159449083277,Technology,0.7166809439659119
소파 Model B-588,BC165176331,소파 model b-588,1,,Technology,0.6961225350532445,semantic_conf,Technology,0.7734694833924939,Furniture,0.6490426540374755
Executive Table EX-200,BC107057729,executive table ex-200,10,,Furniture,0.8695217967033386,zeroshot_high_conf,Technology,0.7441758206050081,Furniture,0.8695217967033386
chiar,BC888448988,chiar,21,Furniture,Services,0.6534893279699312,semantic_conf,Services,0.7260992532999235,Furniture,0.5226932883262634
cabnit Model A-402,BC516032315,cabnit model a-402,1,,Technology,0.699215175691596,semantic_conf,Technology,0.7769057507684399,Furniture,0.5611855745315552
sofa,BC959106271,sofa,11,Furniture,Furniture,0.9888992309570312,zeroshot_high_conf,Technology,0.7904008043312989,Furniture,0.9888992309570312
ultrawide monitor,BC899283454,ultrawide monitor,12,Technology,Technology,0.9337177872657776,zeroshot_high_conf,Services,0.779195250322815,Technology,0.9337177872657776
Herman Miller Chair Model C-300,BC348215410,herman miller chair model c-300,14,,Furniture,0.9692318439483643,zeroshot_high_conf,Technology,0.7627009679859177,Furniture,0.9692318439483643
divan,BC134077472,divan,11,Furniture,Furniture,0.9006837606430054,zeroshot_high_conf,Technology,0.7780407083535157,Furniture,0.9006837606430054
technical support,BC122927426,technical support,13,Services,Furniture,0.7129495604069629,semantic_conf,Furniture,0.7921661782299587,Technology,0.6817430257797241
iCloud storage,BC683247918,icloud storage,7,,Technology,0.8555589914321899,zeroshot_high_conf,Furniture,0.7630167768700151,Technology,0.8555589914321899
szafa,BC140127441,szafa,16,Furniture,Technology,0.6806066089243832,semantic_conf,Technology,0.7562295654715369,Services,0.540478491783142
Used szafa,BC594318319,used szafa,16,,Technology,0.6859850817294064,semantic_conf,Technology,0.7622056463660071,Services,0.5305933713912964
Reception Sofa RS-100 Model A-541,BC232654592,reception sofa rs-100 model a-541,5,,Furniture,0.9879193902015686,zeroshot_high_conf,Technology,0.7465738872564291,Furniture,0.9879193902015686
chrome book - Refurbished,BC481584364,chrome book - refurbished,8,,Services,0.8807868242433681,agreement,Services,0.7783180567195801,Services,0.5767385959625244
HON table,BC898302819,hon table,10,,Furniture,0.9229129552841187,zeroshot_high_conf,Technology,0.7738169720332307,Furniture,0.9229129552841187
phone support monthly,BC269702658,phone support monthly,13,Services,Services,0.7176834404468536,zeroshot_fallback,Furniture,0.7635710883175442,Services,0.7974260449409485
security software volume license,BC406998453,security software volume license,15,Services,Furniture,0.6906313214775134,semantic_conf,Furniture,0.7673681349750149,Technology,0.6861658692359924
Teknion divan,BC137219006,teknion divan,21,,Furniture,0.854448139667511,zeroshot_high_conf,Services,0.743781269195767,Furniture,0.854448139667511
monitr professional,BC768986243,monitr professional,21,Technology,Services,0.6643152599958406,semantic_conf,Services,0.7381280666620451,Technology,0.501680302619934
software support,BC674420474,software support,13,Services,Furniture,0.7146711630852618,semantic_conf,Furniture,0.7940790700947353,Services,0.6707435846328735
compact bench,BC142400500,compact bench,16,Furniture,Furniture,0.90435791015625,zeroshot_high_conf,Technology,0.766883359283335,Furniture,0.90435791015625
SAP,BC963589906,sap,20,,Technology,0.6926486134529114,zeroshot_fallback,Services,0.7298471541480126,Technology,0.7696095705032349
Kimball 캐비넷,BC635413025,kimball 캐비넷,2,,Services,0.795700297187835,agreement,Services,0.7317032793104191,Services,0.4924510240554809
NOC service subscription,BC252728624,noc service subscription,7,,Services,0.9212248921394348,zeroshot_high_conf,Furniture,0.7583136723740129,Services,0.9212248921394348
Teknion chiar,BC384528891,teknion chiar,21,,Technology,0.8946707844734192,zeroshot_high_conf,Services,0.7545982605249602,Technology,0.8946707844734192
VPN client,BC823310328,vpn client,17,,Technology,0.8153396844863892,zeroshot_high_conf,Furniture,0.7537460935616456,Technology,0.8153396844863892
Kimball storage unit,BC124425601,kimball storage unit,16,,Technology,0.688002532062048,semantic_conf,Technology,0.76444725784672,Services,0.5541329383850098
plastic soffa,BC382372922,plastic soffa,11,Furniture,Technology,0.6826536845419373,semantic_conf,Technology,0.7585040939354859,Furniture,0.7535392642021179
mesh skrivbord,BC875936087,mesh skrivbord,8,Furniture,Services,0.6931632839951624,semantic_conf,Services,0.7701814266612915,Furniture,0.49468399286270137
canapé,BC142683817,canape,19,Furniture,Technology,0.6872660412582813,semantic_conf,Technology,0.7636289347314237,Services,0.5924786210060119
bildschirm,BC147143794,bildschirm,12,Technology,Services,0.8084733109799599,agreement,Services,0.7497149718308411,Services,0.49409012198448177
Aeron chair,BC512410679,aeron chair,14,,Furniture,0.9250553250312805,zeroshot_high_conf,Technology,0.7829634477680222,Furniture,0.9250553250312805
ERP system,BC492203150,erp system,4,,Technology,0.7038241982460022,zeroshot_fallback,Furniture,0.7664326638282251,Technology,0.7820268869400024
PRI line business,BC391286241,pri line business,4,,Furniture,0.6764188537270646,semantic_conf,Furniture,0.7515765041411828,Technology,0.5333551228046417
fax machine gaming,BC985116006,fax machine gaming,9,Technology,Services,0.6613891668865348,semantic_conf,Services,0.7348768520961498,Technology,0.6880964756011962
bureau,BC438395096,bureau,19,Furniture,Technology,0.6866366340908466,semantic_conf,Technology,0.762929593434274,Furniture,0.6253193378448486
bureau,BC508423654,bureau,19,Furniture,Technology,0.6866366340908466,semantic_conf,Technology,0.762929593434274,Furniture,0.6253193378448486
SSH client,BC267494290,ssh client,17,,Furniture,0.6768297504637207,semantic_conf,Furniture,0.7520330560708008,Technology,0.6101025342941284
white counch,BC513746107,white counch,19,Furniture,Technology,0.6779389276298938,semantic_conf,Technology,0.7532654751443265,Furniture,0.7153310179710388
