name,barcode,normalized_name,cluster_id,true_category,predicted_category,confidence
Dell UltraSharp,BC824230874,dell ultrasharp,8,,Technology,0.7083913326263427
stuhl,BC971763327,stuhl,19,Furniture,Furniture,0.7064611077308655
executive chair,BC663052341,executive chair,19,Furniture,Furniture,0.7042161345481872
Global szafa,BC922172936,global szafa,16,,Furniture,0.7102314829826355
service agreement,BC173512612,service agreement,15,Services,Services,0.7281507015228271
office sofa,BC182894551,office sofa,5,Furniture,Furniture,0.7131940364837646
executive standing desk,BC369183038,executive standing desk,3,Furniture,Furniture,0.7200330138206481
Lounge Seating LS-200,BC481882460,lounge seating ls-200,5,,Furniture,0.7058859229087829
OneDrive storage basic,BC889546822,onedrive storage basic,17,,Services,0.7135419011116029
Global archivador,BC358085454,global archivador,2,,Furniture,0.6999243140220641
стул Model Pro-918,BC196201527,стул model pro-918,1,,Furniture,0.7018044471740723
IKEA leather Desk Model D-100,BC626061386,ikea leather desk model d-100,1,,Furniture,0.7001176953315735
deks,BC498786278,deks,3,Furniture,Furniture,0.7160704135894775
internet service,BC902813840,internet service,7,Services,Services,0.7236394286155701
schrank,BC140519046,schrank,16,Furniture,Furniture,0.7106421709060669
printer - Refurbished,BC805315791,printer - refurbished,8,,Technology,0.7093713521957397
compter,BC883749478,compter,21,Technology,Technology,0.6973183155059814
ASUS PB278Q wireless,BC158119446,asus pb278q wireless,8,,Technology,0.705338168144226
all-in-one printer compact,BC991091361,all-in-one printer compact,18,Technology,Technology,0.7042078256607056
broadband monthly,BC414064734,broadband monthly,6,Services,Services,0.7158304452896118
stuhl,BC444342661,stuhl,19,Furniture,Furniture,0.7064611077308655
gabinete,BC141351917,gabinete,2,Furniture,Furniture,0.7030483722686767
secondary display certified,BC574460059,secondary display certified,8,Technology,Technology,0.7024709224700927
SSH client limited,BC534722381,ssh client limited,17,,Services,0.7126157045364381
Anti virus,BC982169157,anti virus,17,,Services,0.7157013773918153
biurko,BC108809073,biurko,3,Furniture,Furniture,0.7167755961418152
의자,BC374811907,의자,2,Furniture,Furniture,0.6991209030151366
ITIL support,BC958416162,itil support,13,,Services,0.718910264968872
Allsteel archivador,BC699299989,allsteel archivador,2,,Furniture,0.7004068374633788
QHD Display certified,BC946711815,qhd display certified,8,,Technology,0.7033206224441527
schrank,BC279701810,schrank,16,Furniture,Furniture,0.7106421709060669
fiber internet,BC899484915,fiber internet,7,Services,Services,0.7185782074928283
HON table,BC450932787,hon table,10,,Furniture,0.7190959334373475
work desk,BC364982130,work desk,3,Furniture,Furniture,0.724932324886322
WiFi printer,BC575625690,wifi printer,18,,Technology,0.7078904628753663
стол,BC227117388,стол,19,Furniture,Furniture,0.7070525050163269
HP OfficeJet,BC718494872,hp officejet,18,,Technology,0.7061730146408082
소파 Model B-588,BC165176331,소파 model b-588,1,,Furniture,0.6997950315475464
Executive Table EX-200,BC107057729,executive table ex-200,10,,Furniture,0.7106270313262939
chiar,BC888448988,chiar,21,Furniture,Technology,0.6944215893745422
cabnit Model A-402,BC516032315,cabnit model a-402,1,,Furniture,0.7007768154144287
sofa,BC959106271,sofa,11,Furniture,Furniture,0.7088946342468261
ultrawide monitor,BC899283454,ultrawide monitor,12,Technology,Technology,0.7107365012168885
Herman Miller Chair Model C-300,BC348215410,herman miller chair model c-300,14,,Furniture,0.7084962844848632
divan,BC134077472,divan,11,Furniture,Furniture,0.7053631782531737
technical support,BC122927426,technical support,13,Services,Services,0.7246862888336181
iCloud storage,BC683247918,icloud storage,7,,Services,0.7157785654067993
szafa,BC140127441,szafa,16,Furniture,Furniture,0.707687509059906
Used szafa,BC594318319,used szafa,16,,Furniture,0.7093949675559997
Reception Sofa RS-100 Model A-541,BC232654592,reception sofa rs-100 model a-541,5,,Furniture,0.7052734374999999
chrome book - Refurbished,BC481584364,chrome book - refurbished,8,,Technology,0.7084407329559326
HON table,BC898302819,hon table,10,,Furniture,0.7190959334373475
phone support monthly,BC269702658,phone support monthly,13,Services,Services,0.7165162563323975
security software volume license,BC406998453,security software volume license,15,Services,Services,0.7290696382522583
Teknion divan,BC137219006,teknion divan,21,,Technology,0.6990875959396363
monitr professional,BC768986243,monitr professional,21,Technology,Technology,0.697686505317688
software support,BC674420474,software support,13,Services,Services,0.7252328276634216
compact bench,BC142400500,compact bench,16,Furniture,Furniture,0.7107314467430115
SAP,BC963589906,sap,20,,Furniture,0.6945277214050293
Kimball 캐비넷,BC635413025,kimball 캐비넷,2,,Furniture,0.6971286416053771
NOC service subscription,BC252728624,noc service subscription,7,,Services,0.7149572372436523
Teknion chiar,BC384528891,teknion chiar,21,,Technology,0.7023550033569337
VPN client,BC823310328,vpn client,17,,Services,0.7148432374000551
Kimball storage unit,BC124425601,kimball storage unit,16,,Furniture,0.7100354194641113
plastic soffa,BC382372922,plastic soffa,11,Furniture,Furniture,0.6997812747955322
mesh skrivbord,BC875936087,mesh skrivbord,8,Furniture,Technology,0.7059942603111267
canapé,BC142683817,canape,19,Furniture,Furniture,0.7047037124633789
bildschirm,BC147143794,bildschirm,12,Technology,Technology,0.702274739742279
Aeron chair,BC512410679,aeron chair,14,,Furniture,0.7143850803375245
ERP system,BC492203150,erp system,4,,Services,0.7089413523674011
PRI line business,BC391286241,pri line business,4,,Services,0.7047023534774779
fax machine gaming,BC985116006,fax machine gaming,9,Technology,Technology,0.711838161945343
bureau,BC438395096,bureau,19,Furniture,Furniture,0.7044759154319763
bureau,BC508423654,bureau,19,Furniture,Furniture,0.7044759154319763
SSH client,BC267494290,ssh client,17,,Services,0.7136265873908998
white counch,BC513746107,white counch,19,Furniture,Furniture,0.7016667723655701
NOC service,BC255270986,noc service,7,,Services,0.7193220853805542
metal Steelcase storage Model A-378,BC300388921,metal steelcase storage model a-378,1,,Furniture,0.7000840306282043
biurko - Refurbished,BC921584159,biurko - refurbished,8,,Technology,0.7087603330612182
ink jet gaming,BC422544802,ink jet gaming,8,Technology,Technology,0.7051647424697876
B&W printer wireless Gen 2,BC294995530,bw printer wireless gen 2,18,,Technology,0.7029701232910157
glass divan,BC158569033,glass divan,11,Furniture,Furniture,0.6990719318389892
Knoll office sofa,BC719080517,knoll office sofa,5,,Furniture,0.7103907704353332
cell phone plan business,BC742827694,cell phone plan business,4,Services,Services,0.7080107331275939
خدمة الإنترنت,BC840580333,خدمة الانترنت,7,Services,Services,0.7165385842323303
ink jet,BC305746804,ink jet,18,Technology,Technology,0.701470136642456
business internet monthly,BC226222619,business internet monthly,6,Services,Services,0.7162381172180176
4k monitor Plus,BC191597206,4k monitor plus,12,,Technology,0.7084355235099793
printer Plus,BC447549695,printer plus,18,,Technology,0.7082634925842286
medium loveseat,BC924790131,medium loveseat,5,Furniture,Furniture,0.7055248975753784
fabric conference chair,BC186138889,fabric conference chair,14,Furniture,Furniture,0.7102416038513184
divan,BC247382533,divan,11,Furniture,Furniture,0.7053631782531737
Adobe Creative Suite basic subscription,BC353366389,adobe creative suite basic subscription,6,,Services,0.7183894038200378
Allsteel Workstation WS-Pro,BC303770248,allsteel workstation ws-pro,8,,Technology,0.7078965187072753
Herman Miller large HON table,BC191352864,herman miller large hon table,14,,Furniture,0.7052706003189086
Brother MFC certified,BC523216102,brother mfc certified,8,,Technology,0.6992008090019225
Office Software per device package,BC248294102,office software per device package,6,,Services,0.7155905485153198
Adobe Creative Suite,BC475505122,adobe creative suite,6,,Services,0.7171298742294311
HP OfficeJet backlit Plus,BC446389157,hp officejet backlit plus,8,,Technology,0.7035322904586792
NOC service premium,BC459048149,noc service premium,7,,Services,0.7159825682640075
MSP service limited,BC586155117,msp service limited,7,,Services,0.7149924755096435
standing desk,BC301864129,standing desk,3,Furniture,Furniture,0.7232511043548584
skrivbord,BC400855850,skrivbord,10,Furniture,Furniture,0.7081390142440795
キャビネット Model Pro-175,BC854677179,キャヒネット model pro-175,1,,Furniture,0.6972033023834229
surface pro backlit v3,BC389046078,surface pro backlit v3,8,Technology,Technology,0.7052283048629759
Box subscription,BC405669440,box subscription,6,,Services,0.7151880025863647
TAASK CHAIR,BC267618731,taask chair,14,,Furniture,0.7119576215744019
curved monitor,BC607692567,curved monitor,12,Technology,Technology,0.7039592742919922
chaise,BC200889109,chaise,19,Furniture,Furniture,0.7090998768806458
HON compact escritorio,BC338462628,hon compact escritorio,14,,Furniture,0.7082846403121948
소프트웨어 professional package,BC113107987,소프트웨어 professional package,6,Services,Services,0.7103585481643676
support contract professional,BC155094221,support contract professional,13,Services,Services,0.7178041338920593
Kimball Lounge Seating LS-200,BC867658814,kimball lounge seating ls-200,5,,Furniture,0.7042995929718017
wardrobe Model B-795,BC214949614,wardrobe model b-795,1,,Furniture,0.7024254083633423
шкаф,BC862022549,шкаф,16,Furniture,Furniture,0.712084949016571
soporte técnico,BC838066391,soporte tecnico,13,Services,Services,0.7203063011169433
data plan,BC363841612,data plan,7,Services,Services,0.7186730742454528
Ricoh Aficio energy efficient,BC425717549,ricoh aficio energy efficient,8,,Technology,0.7040579319000243
Steelcase small шкаф,BC797468922,steelcase small шкаф,16,,Furniture,0.7111355900764464
glass locker - Refurbished,BC815120513,glass locker - refurbished,8,,Technology,0.706121015548706
SOC service,BC580499237,soc service,7,,Services,0.719822609424591
