name,barcode,normalized_name,cluster_id,true_category,predicted_category,confidence,method_used,approach2_prediction,approach2_confidence,approach4_prediction,approach4_confidence
Dell UltraSharp,BC824230874,dell ultrasharp,8,,Technology,1.0,agreement,Technology,0.7083913326263427,Technology,0.911015510559082
stuhl,BC971763327,stuhl,19,Furniture,Furniture,0.7912605112791061,agreement,Furniture,0.7064611077308655,Furniture,0.5108627557754516
executive chair,BC663052341,executive chair,19,Furniture,Furniture,0.9909160661697388,agreement,Furniture,0.7042161345481872,Furniture,0.8202701210975647
Global szafa,BC922172936,global szafa,16,,Furniture,0.639208334684372,semantic_conf,Furniture,0.7102314829826355,Services,0.5326372861862182
service agreement,BC173512612,service agreement,15,Services,Services,1.0,agreement,Services,0.7281507015228271,Services,0.9744166135787964
office sofa,BC182894551,office sofa,5,Furniture,Furniture,1.0,agreement,Furniture,0.7131940364837646,Furniture,0.9846997857093811
executive standing desk,BC369183038,executive standing desk,3,Furniture,Furniture,0.9737287020683288,agreement,Furniture,0.7200330138206481,Furniture,0.77801114320755
Lounge Seating LS-200,BC481882460,lounge seating ls-200,5,,Furniture,1.0,agreement,Furniture,0.7058859229087829,Furniture,0.908184289932251
OneDrive storage basic,BC889546822,onedrive storage basic,17,,Technology,0.8937332630157471,zeroshot_high_conf,Services,0.7135419011116029,Technology,0.8937332630157471
Global archivador,BC358085454,global archivador,2,,Furniture,0.6299318826198578,semantic_conf,Furniture,0.6999243140220641,Technology,0.5856609821319579
стул Model Pro-918,BC196201527,стул model pro-918,1,,Furniture,0.6316240024566651,semantic_conf,Furniture,0.7018044471740723,Technology,0.5454855322837829
IKEA leather Desk Model D-100,BC626061386,ikea leather desk model d-100,1,,Furniture,1.0,agreement,Furniture,0.7001176953315735,Furniture,0.9823142886161804
deks,BC498786278,deks,3,Furniture,Furniture,0.8631600230932236,agreement,Furniture,0.7160704135894775,Furniture,0.6118680834770203
internet service,BC902813840,internet service,7,Services,Services,0.9255320221185684,agreement,Services,0.7236394286155701,Services,0.7002559900283813
schrank,BC140519046,schrank,16,Furniture,Furniture,0.819281395971775,agreement,Furniture,0.7106421709060669,Furniture,0.549790745973587
printer - Refurbished,BC805315791,printer - refurbished,8,,Technology,0.9221177470684051,agreement,Technology,0.7093713521957397,Technology,0.7092713356018067
compter,BC883749478,compter,21,Technology,Technology,0.9158679401874542,agreement,Technology,0.6973183155059814,Technology,0.7117092847824097
ASUS PB278Q wireless,BC158119446,asus pb278q wireless,8,,Technology,1.0,agreement,Technology,0.705338168144226,Technology,0.9297643303871155
