name,barcode,normalized_name,cluster_id,true_category,predicted_category,confidence
Dell UltraSharp,BC824230874,dell ultrasharp,8,Technology,Uncategorized,0.0
stuhl,BC971763327,stuhl,19,Furniture,Uncategorized,0.0
executive chair,BC663052341,executive chair,19,Furniture,Uncategorized,0.0
Global szafa,BC922172936,global szafa,16,Furniture,Uncategorized,0.0
service agreement,BC173512612,service agreement,15,Services,Uncategorized,0.0
office sofa,BC182894551,office sofa,5,Furniture,Uncategorized,0.0
executive standing desk,BC369183038,executive standing desk,3,Furniture,Uncategorized,0.0
Lounge Seating LS-200,BC481882460,lounge seating ls-200,5,Furniture,Uncategorized,0.0
OneDrive storage basic,BC889546822,onedrive storage basic,17,Services,Uncategorized,0.0
Global archivador,BC358085454,global archivador,2,Furniture,Uncategorized,0.0
стул Model Pro-918,BC196201527,стул model pro-918,1,Furniture,Uncategorized,0.0
IKEA leather Desk Model D-100,BC626061386,ikea leather desk model d-100,1,Furniture,Uncategorized,0.0
deks,BC498786278,deks,3,Furniture,Uncategorized,0.0
internet service,BC902813840,internet service,7,Services,Uncategorized,0.0
schrank,BC140519046,schrank,16,Furniture,Uncategorized,0.0
printer - Refurbished,BC805315791,printer - refurbished,8,Technology,Uncategorized,0.0
compter,BC883749478,compter,21,Technology,Uncategorized,0.0
ASUS PB278Q wireless,BC158119446,asus pb278q wireless,8,Technology,Uncategorized,0.0
all-in-one printer compact,BC991091361,all-in-one printer compact,18,Technology,Uncategorized,0.0
broadband monthly,BC414064734,broadband monthly,6,Services,Uncategorized,0.0
stuhl,BC444342661,stuhl,19,Furniture,Uncategorized,0.0
gabinete,BC141351917,gabinete,2,Furniture,Uncategorized,0.0
secondary display certified,BC574460059,secondary display certified,9,Technology,Uncategorized,0.0
SSH client limited,BC534722381,ssh client limited,17,Services,Uncategorized,0.0
Anti virus,BC982169157,anti virus,17,Services,Uncategorized,0.0
biurko,BC108809073,biurko,3,Furniture,Uncategorized,0.0
의자,BC374811907,의자,2,Furniture,Uncategorized,0.0
ITIL support,BC958416162,itil support,13,Services,Uncategorized,0.0
